university,id,timestamp,event_type,year
RUDN,16676,474362,1,2020
RUDN,16676,853265,0,2021
RUDN,16676,858839,1,2021
RUDN,16676,854828,0,2010
RUDN,16676,984588,1,2010
RUDN,16676,561185,0,2010
RUDN,16676,672778,1,2010
RUDN,16676,50168,0,2021
RUDN,16676,136577,1,2021
RUDN,16676,589116,0,2016
RUDN,16676,761510,1,2016
RUDN,16676,116179,0,2017
RUDN,16676,596187,1,2017
RUDN,16676,674609,0,2015
RUDN,16676,907533,1,2015
HSE,33946,389744,0,2013
HSE,33946,784516,1,2013
HSE,33946,768137,0,2011
HSE,33946,877180,1,2011
HSE,33946,636750,0,2020
HSE,33946,920794,1,2020
HSE,33946,297522,0,2015
HSE,33946,850569,1,2015
HSE,33946,315236,0,2021
HSE,33946,367576,1,2021
HSE,33946,731176,0,2013
HSE,33946,989200,1,2013
HSE,32255,418893,0,2013
HSE,32255,557775,1,2013
HSE,32255,249610,0,2019
HSE,32255,341845,1,2019
HSE,32255,384032,0,2009
HSE,32255,554785,1,2009
HSE,32255,364411,0,2011
HSE,32255,943750,1,2011
HSE,32255,836560,0,2022
HSE,32255,998949,1,2022
HSE,32255,940370,0,2009
HSE,32255,966515,1,2009
HSE,32255,943458,0,2015
HSE,32255,957577,1,2015
HSE,32255,113481,0,2013
HSE,32255,618196,1,2013
MePhi,48347,591301,0,2020
MePhi,48347,841612,1,2020
MePhi,48347,99639,0,2022
MePhi,48347,414903,1,2022
MePhi,48347,562092,0,2011
MePhi,48347,742177,1,2011
MePhi,48347,409793,0,2011
MePhi,48347,765946,1,2011
MePhi,48347,61339,0,2013
MePhi,48347,219956,1,2013
MIPT,41903,989511,0,2021
MIPT,41903,996959,1,2021
MIPT,41903,398032,0,2017
MIPT,41903,895031,1,2017
MIPT,41903,709141,0,2009
MIPT,41903,757979,1,2009
MSU,43193,433011,0,2021
MSU,43193,541197,1,2021
MSU,43193,535320,0,2019
MSU,43193,797522,1,2019
MSU,43193,303178,0,2012
MSU,43193,421514,1,2012
MSU,43193,954508,0,2018
MSU,43193,994326,1,2018
MSU,43193,280532,0,2015
MSU,43193,761924,1,2015
MSU,43193,977795,0,2008
MSU,43193,984379,1,2008
MSU,43193,954011,0,2015
MSU,43193,992230,1,2015
MSU,43193,941274,0,2010
MSU,43193,967134,1,2010
MSU,43193,217969,0,2014
MSU,43193,565613,1,2014
HSE,11534,930387,0,2012
HSE,11534,962568,1,2012
HSE,11534,527675,0,2013
HSE,11534,778888,1,2013
HSE,11534,426165,0,2014
HSE,11534,890862,1,2014
HSE,11534,637741,0,2022
HSE,11534,946866,1,2022
HSE,11534,141645,0,2013
HSE,11534,455428,1,2013
HSE,11534,634057,0,2015
HSE,11534,675236,1,2015
HSE,11534,223239,0,2014
HSE,11534,813957,1,2014
HSE,11534,783343,0,2016
HSE,11534,815902,1,2016
HSE,11534,965967,0,2022
HSE,11534,973645,1,2022
HSE,11534,489470,0,2020
HSE,11534,685238,1,2020
BMSTU,22931,58567,0,2016
BMSTU,22931,261371,1,2016
BMSTU,22931,206657,0,2010
BMSTU,22931,516473,1,2010
HSE,28010,514622,0,2018
HSE,28010,552522,1,2018
HSE,28010,982694,0,2008
HSE,28010,991677,1,2008
HSE,28010,796637,0,2008
HSE,28010,961747,1,2008
HSE,28010,65520,0,2018
HSE,28010,561703,1,2018
HSE,28010,324995,0,2010
HSE,28010,448238,1,2010
MIPT,39675,96038,0,2008
MIPT,39675,911893,1,2008
MIPT,39675,481140,0,2018
MIPT,39675,939639,1,2018
MIPT,39675,474722,0,2009
MIPT,39675,796178,1,2009
MIPT,39675,331149,0,2020
MIPT,39675,847134,1,2020
MIPT,39675,512639,0,2021
MIPT,39675,934001,1,2021
MIPT,39675,563488,0,2017
MIPT,39675,970834,1,2017
MIPT,39675,198102,0,2013
MIPT,39675,418488,1,2013
MIPT,39675,696400,0,2018
MIPT,39675,710526,1,2018
MISIS,41028,617695,0,2016
MISIS,41028,860523,1,2016
MISIS,41028,997709,0,2014
MISIS,41028,999754,1,2014
MISIS,41028,502958,0,2017
MISIS,41028,585229,1,2017
MISIS,41028,589871,0,2022
MISIS,41028,975407,1,2022
MISIS,41028,669022,0,2016
MISIS,41028,787675,1,2016
MISIS,10142,36977,0,2012
MISIS,10142,865108,1,2012
MISIS,10142,555181,0,2014
MISIS,10142,991251,1,2014
MISIS,10142,804607,0,2021
MISIS,10142,870641,1,2021
MISIS,10142,998270,0,2012
MISIS,10142,999954,1,2012
MISIS,10142,698174,0,2015
MISIS,10142,829401,1,2015
MSU,5128,497012,0,2016
MSU,5128,594749,1,2016
MSU,5128,270766,0,2020
MSU,5128,370252,1,2020
MSU,5128,260251,0,2012
MSU,5128,368064,1,2012
MSU,49487,13416,0,2016
MSU,49487,443299,1,2016
MSU,49487,766225,0,2022
MSU,49487,792528,1,2022
RUDN,18388,106021,0,2012
RUDN,18388,829074,1,2012
RUDN,18388,232185,0,2013
RUDN,18388,568421,1,2013
RUDN,18388,327344,0,2018
RUDN,18388,911572,1,2018
RUDN,18388,369237,0,2020
RUDN,18388,983411,1,2020
MIPT,13766,936121,0,2015
MIPT,13766,983133,1,2015
MIPT,13766,528060,0,2009
MIPT,13766,903066,1,2009
MIPT,13766,379646,0,2016
MIPT,13766,773517,1,2016
MIPT,13766,676080,0,2021
MIPT,13766,863764,1,2021
MIPT,13766,227455,0,2010
MIPT,13766,624389,1,2010
MIPT,13766,209166,0,2013
MIPT,13766,848972,1,2013
MISIS,1119,872412,0,2008
MISIS,1119,906985,1,2008
MISIS,1119,569350,0,2019
MISIS,1119,765620,1,2019
MISIS,1119,235923,0,2010
MISIS,1119,264602,1,2010
MISIS,1119,498540,0,2008
MISIS,1119,934671,1,2008
MISIS,1119,230728,0,2022
MISIS,1119,887945,1,2022
MISIS,1119,744916,0,2018
MISIS,1119,797561,1,2018
MISIS,1119,272881,0,2011
MISIS,1119,515798,1,2011
MISIS,1119,610432,0,2018
MISIS,1119,889851,1,2018
MSU,33447,586174,0,2009
MSU,33447,691267,1,2009
MSU,33447,751838,0,2021
MSU,33447,996232,1,2021
MSU,33447,552346,0,2018
MSU,33447,886159,1,2018
MSU,33447,468328,0,2021
MSU,33447,538357,1,2021
MSU,33447,875236,0,2015
MSU,33447,920845,1,2015
MSU,33447,407662,0,2015
MSU,33447,718994,1,2015
MSU,33447,131813,0,2021
MSU,33447,600764,1,2021
MIPT,19552,12406,0,2017
MIPT,19552,995474,1,2017
MIPT,19552,53646,0,2021
MIPT,19552,617452,1,2021
MIPT,19552,215238,0,2014
MIPT,19552,825530,1,2014
MIPT,19552,680961,0,2015
MIPT,19552,777608,1,2015
MIPT,19552,93835,0,2013
MIPT,19552,974411,1,2013
MIPT,19552,211877,0,2011
MIPT,19552,836095,1,2011
MIPT,19552,108109,0,2016
MIPT,19552,642530,1,2016
MIPT,19552,124428,0,2009
MIPT,19552,554081,1,2009
MIPT,19552,346008,0,2012
MIPT,19552,690934,1,2012
MIPT,19552,311657,0,2020
MIPT,19552,582349,1,2020
MePhi,26966,103900,0,2012
MePhi,26966,531202,1,2012
MePhi,26966,53874,0,2018
MePhi,26966,840973,1,2018
MePhi,26966,13614,0,2018
MePhi,26966,482829,1,2018
MePhi,26966,53935,0,2011
MePhi,26966,822391,1,2011
MePhi,26966,870512,0,2008
MePhi,26966,909278,1,2008
MePhi,26966,397780,0,2016
MePhi,26966,811059,1,2016
MePhi,26966,751263,0,2011
MePhi,26966,897172,1,2011
RUDN,47614,975497,0,2022
RUDN,47614,998104,1,2022
RUDN,47614,674848,0,2010
RUDN,47614,928474,1,2010
RUDN,47614,527075,0,2019
RUDN,47614,556010,1,2019
RUDN,47614,822573,0,2019
RUDN,47614,939976,1,2019
RUDN,47614,537740,0,2013
RUDN,47614,696915,1,2013
RUDN,47614,660277,0,2010
RUDN,47614,922287,1,2010
RUDN,47614,396691,0,2011
RUDN,47614,595258,1,2011
RUDN,47614,662431,0,2019
RUDN,47614,953487,1,2019
RUDN,47614,719296,0,2021
RUDN,47614,896450,1,2021
RUDN,47614,721046,0,2017
RUDN,47614,846822,1,2017
MIPT,20415,110532,0,2011
MIPT,20415,580057,1,2011
MIPT,20415,494089,0,2022
MIPT,20415,551015,1,2022
MIPT,20415,131204,0,2014
MIPT,20415,186571,1,2014
MIPT,20415,453944,0,2022
MIPT,20415,514962,1,2022
MIPT,20415,51985,0,2008
MIPT,20415,348848,1,2008
MIPT,20415,288736,0,2020
MIPT,20415,294897,1,2020
MIPT,20415,289910,0,2019
MIPT,20415,394476,1,2019
MIPT,20415,860740,0,2016
MIPT,20415,908381,1,2016
MIPT,10633,752462,0,2018
MIPT,10633,928108,1,2018
HSE,19787,714849,0,2011
HSE,19787,763088,1,2011
HSE,19787,681818,0,2010
HSE,19787,983312,1,2010
HSE,19787,686908,0,2009
HSE,19787,979537,1,2009
HSE,19787,642524,0,2015
HSE,19787,691314,1,2015
HSE,19787,945770,0,2022
HSE,19787,953168,1,2022
HSE,35617,564111,0,2022
HSE,35617,584674,1,2022
HSE,35617,412419,0,2019
HSE,35617,923936,1,2019
HSE,35617,989509,0,2020
HSE,35617,990313,1,2020
HSE,35617,652968,0,2010
HSE,35617,884402,1,2010
HSE,10372,371074,0,2008
HSE,10372,534005,1,2008
HSE,10372,117400,0,2011
HSE,10372,585057,1,2011
HSE,10372,787790,0,2014
HSE,10372,953841,1,2014
HSE,10372,437607,0,2013
HSE,10372,906854,1,2013
HSE,38594,83872,0,2012
HSE,38594,898537,1,2012
HSE,38594,568914,0,2020
HSE,38594,973770,1,2020
HSE,38594,278388,0,2009
HSE,38594,953626,1,2009
HSE,38594,498615,0,2015
HSE,38594,543979,1,2015
HSE,38594,692984,0,2020
HSE,38594,773190,1,2020
HSE,38594,137824,0,2017
HSE,38594,548440,1,2017
HSE,38594,492568,0,2009
HSE,38594,945459,1,2009
HSE,38594,427483,0,2015
HSE,38594,879172,1,2015
HSE,38594,334740,0,2013
HSE,38594,894534,1,2013
MIPT,28997,955483,0,2011
MIPT,28997,975772,1,2011
MIPT,28997,785096,0,2020
MIPT,28997,876791,1,2020
MIPT,28997,337880,0,2008
MIPT,28997,401606,1,2008
RUDN,5328,676194,0,2008
RUDN,5328,700114,1,2008
RUDN,5328,891351,0,2022
RUDN,5328,931580,1,2022
RUDN,5328,646772,0,2018
RUDN,5328,877496,1,2018
RUDN,5328,857869,0,2020
RUDN,5328,994687,1,2020
BMSTU,38577,20706,0,2011
BMSTU,38577,693370,1,2011
BMSTU,38577,366267,0,2012
BMSTU,38577,882362,1,2012
BMSTU,38577,561986,0,2020
BMSTU,38577,799382,1,2020
BMSTU,38577,164372,0,2011
BMSTU,38577,304946,1,2011
BMSTU,38577,777129,0,2015
BMSTU,38577,824793,1,2015
BMSTU,38577,602106,0,2013
BMSTU,38577,765590,1,2013
BMSTU,38577,192350,0,2013
BMSTU,38577,894753,1,2013
BMSTU,38577,407013,0,2021
BMSTU,38577,988944,1,2021
BMSTU,38577,644811,0,2020
BMSTU,38577,678259,1,2020
MISIS,29879,531428,0,2015
MISIS,29879,657068,1,2015
BMSTU,29433,303363,0,2009
BMSTU,29433,713297,1,2009
BMSTU,29433,776384,0,2016
BMSTU,29433,983419,1,2016
BMSTU,29433,490654,0,2019
BMSTU,29433,874860,1,2019
BMSTU,29433,619307,0,2008
BMSTU,29433,758965,1,2008
BMSTU,29433,386299,0,2010
BMSTU,29433,524008,1,2010
BMSTU,29433,530971,0,2012
BMSTU,29433,870879,1,2012
BMSTU,29433,249847,0,2012
BMSTU,29433,416561,1,2012
BMSTU,29433,485772,0,2014
BMSTU,29433,874949,1,2014
BMSTU,4426,637163,0,2022
BMSTU,4426,766298,1,2022
BMSTU,4426,478091,0,2011
BMSTU,4426,623830,1,2011
BMSTU,4426,431683,0,2009
BMSTU,4426,543175,1,2009
BMSTU,4426,116431,0,2018
BMSTU,4426,466815,1,2018
BMSTU,4426,710110,0,2021
BMSTU,4426,756984,1,2021
BMSTU,4426,378552,0,2020
BMSTU,4426,706379,1,2020
BMSTU,4426,804896,0,2017
BMSTU,4426,885002,1,2017
BMSTU,4426,135916,0,2018
BMSTU,4426,999702,1,2018
BMSTU,4426,751537,0,2018
BMSTU,4426,771001,1,2018
BMSTU,4426,342763,0,2019
BMSTU,4426,518317,1,2019
MISIS,5839,550588,0,2018
MISIS,5839,680754,1,2018
MISIS,5839,477510,0,2016
MISIS,5839,655352,1,2016
MISIS,5839,585859,0,2011
MISIS,5839,856650,1,2011
MISIS,5839,92999,0,2020
MISIS,5839,425935,1,2020
MISIS,5839,743513,0,2017
MISIS,5839,989874,1,2017
MISIS,5839,988109,0,2012
MISIS,5839,996735,1,2012
MISIS,5839,837673,0,2013
MISIS,5839,853902,1,2013
MISIS,5839,460336,0,2011
MISIS,5839,774172,1,2011
MISIS,5839,937772,0,2016
MISIS,5839,963249,1,2016
MISIS,41460,947718,0,2009
MISIS,41460,964189,1,2009
MISIS,41460,881383,0,2008
MISIS,41460,925133,1,2008
RUDN,22502,565697,0,2020
RUDN,22502,706264,1,2020
RUDN,22502,494836,0,2022
RUDN,22502,970090,1,2022
RUDN,22502,902695,0,2016
RUDN,22502,959566,1,2016
RUDN,22502,60983,0,2019
RUDN,22502,665339,1,2019
RUDN,22502,493633,0,2016
RUDN,22502,946511,1,2016
MSU,45719,550499,0,2008
MSU,45719,993476,1,2008
MSU,45719,192504,0,2012
MSU,45719,712141,1,2012
MSU,45719,849065,0,2018
MSU,45719,863328,1,2018
MSU,45719,249137,0,2019
MSU,45719,682266,1,2019
MSU,45719,38660,0,2014
MSU,45719,801447,1,2014
MSU,45719,614456,0,2022
MSU,45719,625639,1,2022
MSU,45719,233804,0,2014
MSU,45719,555089,1,2014
MePhi,33786,210122,0,2010
MePhi,33786,334825,1,2010
MePhi,33786,273883,0,2021
MePhi,33786,922658,1,2021
RUDN,32621,578496,0,2019
RUDN,32621,970080,1,2019
RUDN,32621,727783,0,2021
RUDN,32621,781198,1,2021
RUDN,32621,919258,0,2013
RUDN,32621,973388,1,2013
RUDN,32621,370105,0,2012
RUDN,32621,888684,1,2012
RUDN,32621,303290,0,2017
RUDN,32621,546299,1,2017
RUDN,32621,329510,0,2021
RUDN,32621,537469,1,2021
RUDN,32621,500515,0,2020
RUDN,32621,715155,1,2020
RUDN,32621,281459,0,2011
RUDN,32621,877139,1,2011
RUDN,32621,300395,0,2009
RUDN,32621,754352,1,2009
RUDN,32621,888272,0,2018
RUDN,32621,894878,1,2018
MIPT,32509,360254,0,2010
MIPT,32509,463961,1,2010
MIPT,32509,160643,0,2010
MIPT,32509,775930,1,2010
MIPT,32509,583584,0,2008
MIPT,32509,765359,1,2008
HSE,35297,130938,0,2018
HSE,35297,808347,1,2018
MePhi,1120,301887,0,2014
MePhi,1120,326716,1,2014
MePhi,1120,510346,0,2019
MePhi,1120,556660,1,2019
MePhi,1120,255491,0,2011
MePhi,1120,365829,1,2011
MePhi,1120,111776,0,2008
MePhi,1120,520237,1,2008
MePhi,1120,806011,0,2020
MePhi,1120,996401,1,2020
MePhi,1120,418352,0,2020
MePhi,1120,902653,1,2020
MePhi,1120,844212,0,2022
MePhi,1120,857226,1,2022
MePhi,1120,319064,0,2018
MePhi,1120,702888,1,2018
MIPT,27250,169027,0,2008
MIPT,27250,293422,1,2008
MIPT,27250,605907,0,2009
MIPT,27250,870324,1,2009
MIPT,27250,565636,0,2015
MIPT,27250,970999,1,2015
MIPT,27250,645965,0,2013
MIPT,27250,946926,1,2013
MIPT,27250,99233,0,2018
MIPT,27250,717561,1,2018
MePhi,28729,946606,0,2020
MePhi,28729,960830,1,2020
MePhi,28729,782912,0,2008
MePhi,28729,990461,1,2008
MePhi,28729,938788,0,2020
MePhi,28729,998484,1,2020
MePhi,28729,776925,0,2009
MePhi,28729,804834,1,2009
MePhi,28729,906105,0,2008
MePhi,28729,927601,1,2008
MePhi,28729,667788,0,2009
MePhi,28729,884000,1,2009
MePhi,28729,38124,0,2013
MePhi,28729,602338,1,2013
MePhi,28729,120398,0,2010
MePhi,28729,620182,1,2010
MePhi,28729,244509,0,2010
MePhi,28729,406060,1,2010
RUDN,48643,21224,0,2008
RUDN,48643,834867,1,2008
RUDN,48643,669597,0,2013
RUDN,48643,739146,1,2013
RUDN,48643,967710,0,2008
RUDN,48643,996445,1,2008
RUDN,48643,671641,0,2008
RUDN,48643,816326,1,2008
RUDN,48643,940957,0,2016
RUDN,48643,964245,1,2016
MIPT,31044,228370,0,2011
MIPT,31044,686064,1,2011
MIPT,31044,548648,0,2008
MIPT,31044,794376,1,2008
MIPT,31044,326300,0,2008
