university,id,publication,year
MISIS,26733,93ZETEJ2UZ,2021
MISIS,26733,L8A7NC9PXE,2015
MISIS,26733,P8KY7AEDJY,2018
MISIS,26733,7HOQAP0N3O,2009
MISIS,26733,E4SO53JDEM,2020
MISIS,26733,8LNI41J36S,2020
MISIS,26733,0GEVYNU6XC,2013
MISIS,26733,36JCGHGDKO,2008
MISIS,26733,NJ7O5678IB,2021
MISIS,26733,5IEYE9VEHK,2016
MISIS,26733,U43YTE29VT,2012
MISIS,26733,3DCCXYSD85,2017
MISIS,26733,PS0IKIYBHL,2013
MISIS,26733,SBWS7BEIEZ,2016
MISIS,1865,PRDCVCIQEZ,2020
MISIS,1865,ONDJM7RZG4,2011
MISIS,1865,KLGAO8W5XU,2018
MISIS,1865,OJYAX2AR4C,2017
MISIS,1865,95BJVOFIFE,2009
MISIS,1865,N1BIDJN2FH,2019
MISIS,1865,FFHYY10TY0,2016
MISIS,1865,SBOF0CPA0I,2011
MISIS,1865,YFRDO14GC7,2015
MISIS,1865,PWAKB1MC24,2008
MISIS,1865,4UQF8ASMFX,2017
MISIS,1865,LT9F4XERHF,2010
MISIS,1865,S4XFTS1XJX,2012
MISIS,1865,VH7POICQ29,2020
MISIS,1865,0UITAXKRDL,2018
MISIS,1865,Y9OUSWDWXO,2013
MISIS,1865,J8S76HN38F,2012
MISIS,1865,3TWZBWABUL,2018
MISIS,1865,2NM4V07VD6,2011
MISIS,1865,SVE710FT80,2020
MISIS,1865,VCA9KOILHF,2009
MISIS,1865,S0O07IQOL6,2008
MISIS,1865,DUPYOFHCZK,2011
MISIS,1865,W4GZIQEO8L,2013
MISIS,1865,I6REWREV73,2014
MISIS,1865,N00IIPZN1L,2011
MISIS,1865,U8R29H9SN4,2011
MISIS,1865,J6QW220Y9Z,2012
MISIS,1865,TE1M2SWT6H,2020
MSU,11003,1QCZEYM08T,2009
MSU,11003,M43QEPOKL1,2019
MSU,11003,I67N5Y0UZR,2013
MSU,11003,KPYD6I6OMQ,2021
MSU,11003,UM5WODEIIT,2022
MSU,11003,R3LYB8NSG0,2015
MSU,11003,RYEVG1KUH4,2008
MSU,11003,G33WH8A4AM,2020
MSU,11003,CG075GV72N,2020
MSU,11003,NY2F2S9SLB,2016
MSU,11003,M9RZ8WXNI3,2020
MSU,11003,EC9508EM5L,2020
MSU,11003,WYULWRFFE6,2022
MSU,11003,K8AA6HKNNB,2018
MSU,11003,T9UJZ3MMF9,2020
MSU,11003,63AXPUUFZ2,2011
MSU,11003,379WHW77XC,2011
MSU,11003,JRAK5AUL9X,2017
MSU,11003,60MXHZGRC3,2018
MSU,11003,OUJY994MZV,2010
MSU,11003,YCOIFCZYL9,2020
MSU,11003,VWDMNKJH9Z,2014
MSU,11003,7VCRQSDQ9K,2009
MSU,11003,D1ZFUU81UE,2014
MSU,11003,FE4HGPP21K,2018
MSU,11003,1BUHYG51VN,2016
MSU,11003,Q7QQ88N9LE,2008
MSU,11003,HF6G3F3INX,2011
MSU,11003,XDFHI91BIA,2021
MSU,11003,JFRDINK7JM,2015
MISIS,38392,NJZ9JQONL4,2018
MISIS,38392,RW9W38UJUI,2019
MISIS,38392,FNZLDYW35C,2009
MISIS,38392,IQTNO8ZSXE,2021
MISIS,38392,AU5ZW26EHJ,2012
MISIS,38392,E5UELCHM6E,2012
MISIS,38392,BZSTXXB1PU,2009
HSE,3166,XDRG6V9JU5,2008
HSE,3166,ZCLHCDVGMF,2014
HSE,3166,LIS6BNVDI0,2018
HSE,3166,V0JISSQC1J,2010
HSE,3166,LFIY9QD6R6,2016
HSE,3166,8PUBOHER9N,2015
HSE,3166,ZWM0DVN0U1,2018
HSE,3166,0JYHQOTYPQ,2010
HSE,3166,Q5BJ8WMC93,2020
HSE,3166,XU6YCRYXP1,2018
HSE,3166,JUXOX18640,2015
HSE,3166,GYF2E2SXHH,2022
HSE,3166,62URKGZTU3,2014
HSE,3166,Z3SY5DVMHV,2018
HSE,3166,8RIXDOCDZ4,2009
RUDN,18388,200UXQOW5D,2012
RUDN,18388,D8PSVMUYQ8,2017
RUDN,18388,RRAFBH1TWD,2009
RUDN,18388,MDWEB74DGG,2020
RUDN,18388,PYYHXF8YDL,2011
RUDN,18388,4GZM3Q35SD,2010
RUDN,18388,I0919BR01V,2020
RUDN,18388,4R199GW7D6,2009
RUDN,18388,ZESIS7VEDG,2017
RUDN,18388,SQWAO6FF91,2017
RUDN,18388,HELO3MVARC,2008
RUDN,18388,JU7JKGP5KH,2022
RUDN,18388,ZYL5IA5S72,2010
RUDN,18388,JR3MIZWU0N,2019
RUDN,18388,FF97OK8TOT,2017
RUDN,18388,LU0LBM7210,2015
RUDN,18388,M1JV5RV86M,2017
MSU,8542,ZRTI719CR3,2017
MSU,8542,5RE2KK5I4X,2011
MSU,8542,MTXE429FAY,2020
MSU,8542,JF0L07W7R2,2011
MSU,8542,APGY10EDI6,2016
MSU,8542,L7WF7Y6HQV,2010
MSU,8542,MR1DTCTZ9K,2021
MSU,8542,7DIPE7E4SI,2016
MSU,8542,8XXP9C0UXM,2010
MSU,8542,NFO2K5R6ZE,2016
MSU,8542,RJLW1ZZ8ZF,2010
MSU,8542,CMTEZMUU08,2020
MSU,8542,QVD1NU0YYU,2016
MSU,8542,ZRHYL89GOM,2015
MSU,8542,9AHU9FPWHR,2010
MSU,8542,RYDL5HNHB7,2009
MSU,8542,8WZTQOJYOH,2016
MSU,8542,Y4MPBQE0I4,2019
MSU,8542,DD1OFJNED0,2016
MSU,8542,K5879CTM21,2022
MSU,8542,XCSSSWE4QF,2011
MSU,8542,YUYLEY0R1W,2010
MSU,8542,PDB3ZA6BEM,2019
MSU,8542,5GQBM3XUD1,2015
MSU,8542,R6LY91E24G,2009
MSU,8542,OF3EOO13Y1,2017
MSU,8542,IIECFM8JAR,2011
MSU,8542,Y1NMCJ6YDZ,2017
MSU,8542,FQ7OASQJEM,2014
MSU,8542,DIV7NCZPRU,2009
MePhi,43820,M9R1H31Y1J,2017
MePhi,43820,PUEONZAJ1W,2018
MePhi,43820,5D7PMZ5JE8,2011
MePhi,43820,HFEGGBKCLA,2019
MePhi,43820,BKH908NZE4,2013
MePhi,43820,XTATAERGG6,2014
MePhi,43820,Q0LFZQLFS4,2020
MePhi,43820,ZJ2APR7UKI,2021
MePhi,43820,G7E6UGX5BJ,2017
MePhi,43820,CNO7QJM2UL,2008
MePhi,43820,EKUURH5IZ8,2020
MePhi,43820,1S9LKUM2RY,2015
MePhi,43820,Y1HWJZTPZW,2014
MePhi,43820,132M6KHKMQ,2008
MePhi,43820,9L9NS7DH7Q,2019
MePhi,43820,JBDX1ZAWGO,2021
MePhi,43820,408L04HND3,2016
MePhi,43820,B79ILSBA3B,2012
MePhi,43820,MQU46NQOBX,2019
MePhi,43820,8NXGWZF2UQ,2009
MePhi,43820,6IQVBOFM8I,2012
MePhi,43820,E9YQDGNR7Y,2008
MePhi,43820,KDHR8Y0EWH,2016
MePhi,43820,4OW6E02HHK,2018
MePhi,43820,4M6RIP20Q2,2011
MePhi,43820,U04MM0MKXI,2014
MePhi,43820,DQ87AG3NEE,2013
MePhi,43820,R8FUAGT5S9,2018
MePhi,43820,58ZF53L8AO,2009
MePhi,43820,VJ7VF4K0VA,2008
MePhi,32220,B1LY1XSATJ,2010
MePhi,32220,VM5NIH1WLR,2022
MePhi,32220,K9QHV6SRBN,2019
MePhi,32220,EHJD5E8DOO,2021
MePhi,32220,QH27WE7SYK,2015
MePhi,32220,K79Y7G3P9O,2020
MePhi,32220,ABG78N2KUE,2014
MePhi,32220,8G5DEK7B3C,2010
MePhi,32220,HFOS12JY77,2010
MePhi,32220,3HQIQBVV8O,2014
MePhi,32220,ZGZ33ACHSC,2015
MePhi,32220,FYP2APMTUG,2018
MePhi,32220,8G9WEBPV61,2012
MePhi,32220,6YHDV8Z2A3,2022
MePhi,32220,P1WQVNIT4O,2020
MePhi,32220,6VQOBJ4E68,2010
BMSTU,17692,9KDRYK9K37,2022
BMSTU,17692,1JA50H3CI8,2018
BMSTU,17692,HO2NDELIZX,2016
BMSTU,17692,I52UQG0E4R,2019
MISIS,28887,I823C65PS3,2019
MISIS,28887,3EXVR3F0LU,2014
MISIS,28887,FZXMIUQ9Q9,2020
MISIS,28887,BGWV91SQS5,2020
MISIS,28887,J7T2XXRASQ,2016
MISIS,28887,G7ZJBI0615,2010
MISIS,28887,YRT26DOF2L,2014
MISIS,28887,RJT5IEWBRY,2012
MISIS,28887,K5V5HVCDSF,2020
MISIS,28887,LBGMBVCNFU,2022
MISIS,28887,BOQJ6HJOBS,2008
MISIS,28887,R9V2NF3Z6W,2011
MISIS,28887,7WXB79WHDG,2009
MISIS,28887,52E9VGJ6NQ,2019
MISIS,28887,R0MWTCW4SM,2016
MISIS,28887,OE0YOM17RF,2016
MISIS,28887,BN2M1EWFQL,2011
MISIS,28887,5JOH7IBD1O,2021
MISIS,28887,INXS0QSKS6,2017
MISIS,28887,6979QC6TAQ,2017
RUDN,48250,0X4T3SRCUI,2021
RUDN,48250,0M0PE69RX9,2019
RUDN,48250,IVY9B25V0N,2010
RUDN,48250,0Q9PTSOXAT,2008
RUDN,48250,ZM15T3AQHJ,2019
RUDN,48250,XXXEBYW0PA,2014
RUDN,48250,3OO6Z9B4N1,2017
RUDN,48250,NVN0CHXOXD,2011
RUDN,48250,04T0R3PDHN,2010
RUDN,48250,ORTOES2QC0,2008
RUDN,48250,F2V9MINCPA,2019
RUDN,48250,UDC807PY87,2020
RUDN,48250,XQ8W92O67Y,2021
RUDN,48250,Y9F7TO0HZ7,2018
RUDN,48250,S8J2X5DSTW,2018
RUDN,48250,TB3MI6PWPD,2021
HSE,29495,OZ5FZF3VSI,2017
HSE,29495,G31XVK52V4,2010
HSE,29495,8LSJWJNVCC,2013
HSE,29495,2IIN85AML5,2008
HSE,29495,YEJ8Q3AF9V,2012
HSE,29495,C9H7U98WQV,2012
HSE,29495,359VPBS1ZO,2013
HSE,29495,M8DP111WTT,2014
HSE,29495,PI67Q3GY88,2011
HSE,29495,UDDLBO7KCC,2008
HSE,29495,1OGIJZ4F09,2022
HSE,29495,0AGWBVLCSU,2018
HSE,29495,OCVVJYHLK8,2017
HSE,29495,OVRSSU0C6M,2014
HSE,29495,N6YP7TEMJF,2013
HSE,29495,9WGIV4JX81,2020
HSE,29495,LMOIXIR7ET,2018
HSE,29495,93HQ3LOEOL,2016
HSE,29495,II1VCYCSPX,2021
HSE,29495,UBNW6TWBZ9,2010
HSE,29495,J293OFX9KP,2019
HSE,29495,5YHJV1PTXP,2016
HSE,29495,XW920V3A4F,2016
HSE,29495,6167OZTEF9,2009
HSE,29495,SBMY9F5BHB,2008
HSE,29495,NWN1OYBDD8,2008
HSE,29495,JQVXRXAA1A,2008
HSE,29495,0STWQTPY4B,2011
HSE,29495,I5HOGZUKZO,2022
BMSTU,8309,QDQ8EZQX0U,2017
BMSTU,8309,ZS4X6IQS4F,2009
BMSTU,8309,C8K8MYGNQL,2017
BMSTU,8309,6KXKADVQIK,2012
BMSTU,8309,C6KQNDQ2FS,2020
BMSTU,8309,ZA7MGJ89L3,2014
BMSTU,8309,WHG557MHJM,2020
BMSTU,8309,FFCMHIEQWC,2020
BMSTU,8309,S5XWL70NP1,2014
BMSTU,8309,E8JRY2VY8C,2022
BMSTU,8309,LP5HE7TNDW,2011
BMSTU,8309,KX20NMNUSN,2013
BMSTU,8309,7ZLFF08BZI,2012
BMSTU,8309,IR0PQLLHBG,2022
BMSTU,8309,P9HS8229TP,2008
BMSTU,8309,J3PAD3KCHS,2011
BMSTU,8309,NLVMQT4T96,2011
BMSTU,8309,7E89OAH6IQ,2019
BMSTU,8309,8DRQGB6DEK,2018
BMSTU,8309,JIPL5PQTTB,2013
MePhi,42928,H7JS91RQQ2,2019
MePhi,42928,HTG625G32G,2014
MePhi,42928,JWQTNK4OI9,2010
MePhi,15779,ENT9ZEG0W3,2020
MePhi,15779,PXG6YYVVCS,2014
MePhi,15779,6ZHKI5WY2Y,2009
MePhi,15779,JYGAR6WENA,2012
MePhi,15779,4N8XZEAAO1,2020
MePhi,15779,3TQ02U2ALY,2009
MePhi,15779,6360HRVQCQ,2012
MePhi,15779,DFP3KHAZA3,2019
MSU,2599,1JF5DFJTHM,2013
MSU,2599,6AX85POGEV,2011
MSU,2599,FCWAT2GAGP,2010
MSU,2599,P6FSOWN602,2022
MSU,2599,ERKZA9OZKR,2008
MSU,2599,QE7I8889BS,2022
MSU,2599,FZ4Z6NF1HP,2015
MSU,2599,O5VOSV8OGM,2017
MSU,2599,SPUC72LDRM,2021
MSU,2599,N4VDRHNIO2,2008
MSU,2599,4532TSA4YU,2010
MSU,2599,R0BGZK1NQO,2017
MSU,2599,CS4SF6TJYE,2017
MSU,2599,FGUUXVR6YY,2015
MSU,2599,F5DKGNL8YQ,2016
MSU,2599,47IKLJKKAG,2009
MSU,2599,UF4UAPAUDA,2013
MSU,2599,LPZ6KQKJ5H,2015
MSU,2599,33IVHE8A84,2013
MIPT,30216,OGMS411X1Q,2018
MIPT,30216,ILY2DYQYOQ,2021
MIPT,30216,N598QGY7J8,2016
BMSTU,43052,Y0X1H5EOUK,2022
MIPT,21622,H0O4PYNTZJ,2017
MIPT,21622,EO93YARPCJ,2018
MIPT,21622,75PE9WKGL6,2009
MIPT,21622,J6C8M2GGC6,2022
MIPT,21622,873AC8J8FP,2010
MIPT,21622,AYOJGYFFYT,2014
MIPT,21622,EEFF7JPZXX,2016
MIPT,21622,YQRT2K8JU8,2020
MIPT,21622,HCY8WTPI14,2017
MIPT,21622,JO4BCDNRLD,2013
MIPT,21622,8OJLT98GJM,2018
MIPT,21622,ESZ6ALHAA4,2022
MIPT,21622,3CEND1JEIS,2022
MIPT,21622,BO1YC7R2GA,2010
MIPT,21622,OO8JZMO6ZU,2022
MIPT,21622,FQTL6DZIWG,2014
MIPT,21622,X0C52ZXNDY,2021
MIPT,21622,3ZF5JBL1P9,2011
MIPT,21622,CR0FLPXHG9,2012
MIPT,21622,51X6ESXTCL,2014
MIPT,21622,SKAMB6J5E2,2012
MIPT,21622,QIVKRTDZOC,2009
MIPT,21622,JZHSSOG08N,2013
MIPT,21622,Z9E0SV6399,2013
MIPT,21622,OWE3NIBUP3,2018
MIPT,21622,U8WJV7C3DI,2020
MIPT,21622,BE3MY1SYDP,2022
RUDN,194,JQ0WBPZBER,2014
RUDN,194,FYP98V8T1R,2016
RUDN,194,G760WV19X9,2013
RUDN,194,9ES6Y5G1G5,2022
RUDN,194,2IROMHMQ8Z,2014
RUDN,194,JD166GUECP,2012
RUDN,194,0OCE7C2UB9,2021
RUDN,194,N02HJHR69P,2017
RUDN,194,X4BQW2N791,2018
RUDN,194,JHOAM9K7LD,2012
RUDN,194,6R2CWAAJT2,2014
RUDN,194,Z85SG6R3ZS,2019
RUDN,194,2793DGMMVF,2012
RUDN,194,6RTZTB2T8R,2014
HSE,28074,FXIWTD6OCH,2011
HSE,28074,RTRBMOFU9S,2012
HSE,28074,STS2EQ8R5G,2022
HSE,28074,O5SH3EU6SW,2018
HSE,28074,DQGRJK8XEO,2011
HSE,28074,T2MNFDVCFB,2014
HSE,28074,RNX27AS68X,2011
HSE,28074,H65NODD2S7,2013
HSE,28074,22FEFWRLOO,2010
BMSTU,740,XH4PTOTM38,2020
BMSTU,740,D772CP7IZ5,2018
BMSTU,740,EFKEGLGT49,2020
BMSTU,740,GXHNTZD256,2018
BMSTU,740,1FJ7OWD21C,2022
BMSTU,740,FJQ9U2USJ9,2012
BMSTU,740,2EB5JJF8X8,2014
BMSTU,740,IUEV80HR1M,2017
BMSTU,740,IWEU7637PZ,2010
BMSTU,740,JH86XBG3YJ,2016
BMSTU,740,P9KJQDMQ7F,2020
BMSTU,740,T9RS3LY7ZR,2014
BMSTU,740,9UYUTLV0T7,2018
BMSTU,740,39Y547LN0J,2014
BMSTU,740,3CXINZQ2I2,2016
BMSTU,740,0H6GULLBJC,2014
BMSTU,740,D0UOM6G288,2011
BMSTU,740,GK50LEZA9B,2009
BMSTU,740,MMRZCER94R,2021
BMSTU,740,TYJYAU5EAG,2016
BMSTU,4426,C44KX419KS,2020
BMSTU,4426,TOOLDXJEZO,2014
BMSTU,4426,DE3S7E9UCM,2021
BMSTU,4426,ZLHTS87YBA,2020
BMSTU,4426,XP81S13YOT,2009
BMSTU,4426,ZBXQAWNO42,2019
BMSTU,4426,QSXUM20M0J,2009
BMSTU,4426,7QG602U20F,2022
BMSTU,4426,4HB6BN7IH1,2008
BMSTU,4426,QGUOQJWE7O,2008
BMSTU,4426,PZI0EU73NT,2014
BMSTU,4426,1HWVITWAMV,2021
BMSTU,4426,5K8H80AW00,2013
BMSTU,4426,VJWJCO6RU8,2011
BMSTU,4426,F2APPQC39O,2022
BMSTU,4426,XB98D8UKSY,2010
BMSTU,4426,ROINXTNUXP,2012
